
#################ModelProject 1 - 2dofrobotarm  #########################
2dofrobotarm | Decision |   | 
nif | dataprocessing | display_out  | bit1_in,bit2_in,bit3_in,bit4_in,choice_in
nif | display | display_out  | filter_in write_in
nif | filter | bit_out  | choice_in,bit1_in,bit2_in,bit3_in,bit4_in
nif | NIF | display_out  | account_setting,refresh_setting,plus_in,minus_in,choice_in
nif | refresh | refresh_out  | refresh_setting,plus_in,minus_in
nif | write | write_out  | choice_in

#################ModelProject 56 - offlineft  #########################
offlineft | AccessNetwork | in1 in2,out1 out2  | 
offlineft | FileServer | outFToA outFToB  | inAToF inBToF requestIn
offlineft | FileServerSender | requestData ackReceived fileSent dataOut  | requestIn dataIn ackIn
offlineft | Network | outNToA outNToB  | inAtoN inBToN requestIn
offlineft | offLineFileTransfer | fileSent ackReceived outData  | controlIn requestIn
offlineft | receiver | out outData  | receiver
offlineft | sender | dataOut,fileSent,ackReceived  | controlIn,ackIn
offlineft | subnet | subnet  | subnet
offlineft | tmpFileExchange | readDataOut  | deleteData requestData,storeData
offlineft | tmpFileReadThread | dataOut  | deleteData requestData
offlineft | tmpFileWriteThread | dataOut  | storeData

#################ModelProject 57 - omniengine_with_batch  #########################
omniengine_with_batch | CreateCapture | capture_created,filter_code  | CreateCapture
omniengine_with_batch | CreateFilter | filter_done  | CreateFilter
omniengine_with_batch | OmniEngineControl | capture_created,filter_code,capture_started,channel_num,capture_stopped  | create_capture,start_capture,stop_capture
omniengine_with_batch | StartCapture | capture_started,channel_num  | StartCapture
omniengine_with_batch | StopCapture | capture_stopped  | StopCapture
omniengine_with_batch | WirelessChannel | channel_done  | WirelessChannel

#################ModelProject 58 - OnoC  #########################
OnoC | CommandModulation | out1  | in1,in2
OnoC | Driver | current  | data
OnoC | EmissionLaser | out1  | in1,in2
OnoC | Laser | light  | current
OnoC | OpticalTransmitter | y  | x
OnoC | Photodiode | current  | light
OnoC | PolarizationCommand | out1,out2  | in1
OnoC | Receiver | data  | light
OnoC | TIA | data  | current
OnoC | Transmitter | light  | data

#################ModelProject 59 - OperationRoom  #########################
OperationRoom | Operation | Operation  | Operation

#################ModelProject 60 - otrain  #########################
otrain | InTrainQueue | PassengerOut  | StationNumber,PassengerIn
otrain | O-Train | PassengerArrived,PassengerInitial  | 
otrain | StationGenerator | PassengerInitial  | 
otrain | StationQueue | PassengerOut  | StationNumber,PassengerIn
otrain | StrationArrivalGenerator | StationNumber  | 

#################ModelProject 61 - Panama_Canal  #########################
Panama_Canal | controller | controlLocks,controlQueue  | controlIn
Panama_Canal | gate | gate,controlOut  | gate,controlIn
Panama_Canal | gatun_locks | gatun_locks,controlOut  | gatun_locks,controlIn
Panama_Canal | lock | lock,controlOut  | lock,controlIn
Panama_Canal | panama_canal | panama_canal  | panama_canal
Panama_Canal | queue | queue  | queue,controlIn

#################ModelProject 62 - Pendulum_clock  #########################
Pendulum_clock | AgujaHour | VALUE  | INCREMENT DECREMENT
Pendulum_clock | AgujaMin | VALUE OUT_INCREMENT OUT_DECREMENT  | TIC IN_INCREMENT IN_DECREMENT
Pendulum_clock | Agujas | HOUR_VALUE MIN_VALUE  | TIC INCREMENT DECREMENT
Pendulum_clock | Alarma | ALARM_ON ALARM_OFF SOUND_ALARM  | ACTIVATE DEACTIVATE ALARM_HOUR ALARM_MIN CLOCK_HOUR CLOCK_MIN
Pendulum_clock | ControlAlarma | ALARM_ON ALARM_OFF SOUND_ALARM ALARM_MIN ALARM_HOUR  | ACTIVATE DEACTIVATE CLOCK_HOUR CLOCK_MIN INCREMENT DECREMENT
Pendulum_clock | ControlEncendido | CLOCK_ON CLOCK_OFF  | TURN_ON TURN_OFF
Pendulum_clock | Motor | TIC CLOCK_ON CLOCK_OFF  | TURN_ON TURN_OFF
Pendulum_clock | Pendulo | TIC  | TURN_ON TURN_OFF
Pendulum_clock | Reloj | CLOCK_ON CLOCK_OFF ALARM_ON ALARM_OFF SOUND_ALARM CLOCK_HOUR CLOCK_MIN ALARM_HOUR ALARM_MIN  | TURN_ON TURN_OFF ACTIVATE DEACTIVATE INCREMENT DECREMENT INC_ALARM DEC_ALARM

#################ModelProject 63 - pharmacy  #########################
pharmacy | pharmacy | pharmacy  | pharmacy

#################ModelProject 64 - pizzakitchen  #########################
pizzakitchen | admlug | out outLugar1 outLugar2 outLugar3 outLugar4 outLugar5 outLugar6 outLugar7 outLugar8 outLugar9 outLugar10  | in inLugar1 inLugar2 inLugar3 inLugar4 inLugar5 inLugar6 inLugar7 inLugar8 inLugar9 inLugar10
pizzakitchen | cola | cola  | in dame
pizzakitchen | horno | horno  | horno
pizzakitchen | lugar | lugar  | lugar
pizzakitchen | pizzeria | pizzeria  | pizzeria
pizzakitchen | pizzero | out outHorno outPedidos  | in inHorno

#################ModelProject 65 - ponzischeme  #########################
ponzischeme | InvestorPool | totalInvestor_out ponziStatus_out balance_out payout_out longTerm_out payoutReq_out ponziRecruit_out,initialPoolStats_out fundStatus_out  | payoutReq_in

#################ModelProject 66 - Queue  #########################
Queue | Queue | Queue  | in done stop

#################ModelProject 67 - Resin  #########################
Resin | computer | computer,mixtankControl_out,storetankControl_out  | computer,mixtankTemp_in,mixtankEmpty_in,mouldtankTemp_in,mouldtankEmpty_in,storetankEmpty_in
Resin | csystem | csystem,mixtankControl_out,storetankControl_out  | csystem,storetankEmpty_in,mixtankTemp_in,mixtankEmpty_in,mouldtankTemp_in,mouldtankEmpty_in
Resin | mixtank | mixtank,mixtankTemp_out,mixtankEmpty_out  | mixtank,start_in,mixtankControl_in
Resin | mouldtank | mouldtank,mouldtankTemp_out  | mouldtank,start_in
Resin | pline | storetankEmpty_out,mixtankTemp_out,mixtankEmpty_out,mouldtankTemp_out,mouldtankEmpty_out  | start_in,mixtankControl_in,storetankControl_in
Resin | resin | resin  | resin
Resin | stk | stk  | stk,storetankControl_in

#################ModelProject 68 - rifle  #########################
rifle | BoltAssy | out_boltPosn,out_bulletLoaded  | in_bulletReady,in_releaseBolt,in_boltBack
rifle | Bullet | out_isDud  | in_bulletReady
rifle | Chamber | out_boltBack,out_bulletFired,out_casing  | in_isDud,in_bulletLoaded
rifle | MagAssy | out_bulletReady,out_isDud  | in_initBullets,in_initMagSeating,in_bulletLoaded
rifle | Magazine | out_bulletReady  | in_initBullets,in_initMagSeating,in_bulletLoaded
rifle | Rifle | outBulletFired,outCasing,outBoltPosn  | inInitBullets,inInitMagSeating,inHandlePosn,inTriggerPressed,inFiringSelector
rifle | TrigAssy | out_releaseBolt  | in_triggerPressed,in_firingSelector,in_boltBack

#################ModelProject 69 - robotvehicle  #########################
robotvehicle | RobotVehicle | Out1,Out2,Out3  | In1,In2,In3,In4,In5

#################ModelProject 70 - rockpaperscissors  #########################
rockpaperscissors | actionMaker | actionMaker  | actionMaker
rockpaperscissors | comparer | out1,out2,out3  | in0,in1,in2
rockpaperscissors | player | player  | player
rockpaperscissors | requestReceiver | requestReceiver  | requestReceiver
rockpaperscissors | rockPaperScissors | rockPaperScissors  | rockPaperScissors

#################ModelProject 71 - routingIP  #########################
routingIP | red |   | 

#################ModelProject 72 - SecureAreaAccess  #########################
SecureAreaAccess | AlarmAdmin | Admin_Out Alarm_Status1 Alarm_Status2 Error Alarm_Req  | ArmReq_In DisarmReq_In AlarmPin_Ok
SecureAreaAccess | Authentication | AlarmPin_Ok Error DoorPin_Ok  | Pin_In Alarm_Req Alarm_Status2
SecureAreaAccess | Display | Msg_Out  | PinPrompt_In AlarmStatus_In Error_In DoorOk_In
SecureAreaAccess | SecureAreaAccessSystem | Msg  | Arm Disarm PIN
SecureAreaAccess | SystemAdmin | Pin_Prompt AlarmStatus_Out Error_Out DoorOk_Out  | Arm_In Disarm_In PIN_In

#################ModelProject 73 - securityctl  #########################
securityctl | pinreader | pinreader  | pinreader
securityctl | sub1 | sub1  | sub1
securityctl | sub2 | sub2  | sub2
securityctl | system | system  | system

#################ModelProject 74 - soccer  #########################
soccer | ballPlayTest | c_game_on c_game_score  | c_start_period c_score c_end_game
soccer | ModelTest | c_start_period c_game_score c_game_on c_end_game  | c_start_game c_score
soccer | Timertest | c_end_game c_start_period  | c_start_game

#################ModelProject 75 - solarwind  #########################
solarwind | solar |   | 
solarwind | solarwind |   | 

#################ModelProject 76 - SpikingNeuronTerminal  #########################
SpikingNeuronTerminal | amp_1 | out_1  | in_1
SpikingNeuronTerminal | amp_block | out_1 out_2  | in_1  in_2
SpikingNeuronTerminal | controller | m_outFire m_outOff  | m_in m_inCount
SpikingNeuronTerminal | Neuron | neuron_out clk_control  | neuron_on neuron_off
SpikingNeuronTerminal | SpikingNeuronTerminal | terminal_output control_output  | in_1 in_2
SpikingNeuronTerminal | Timer | out_clk out_count  | m_inTurnOn m_inTurnOff

#################ModelProject 77 - srsim_dg  #########################
srsim_dg | LANcoupled_dg |   | 
srsim_dg | LANswitch_atomic_dg |   | 
srsim_dg | LANswitch_coupled_dg |   | 
srsim_dg | LAN_WAN_coupled_dg |   | 
srsim_dg | sink_dg |   | 
srsim_dg | source_dg |   | 
srsim_dg | WANrouter_coupled_dg |   | 
srsim_dg | WANswitch_atomic_dg |   | 
srsim_dg | WAN_coupled_dg |   | 
srsim_dg | workstation_dg |   | 

#################ModelProject 78 - Surgery  #########################
Surgery | surgery | surgery  | surgery

#################ModelProject 79 - switching  #########################
switching | sink | packetsReceived  | sinkIn
switching | source | packetOut,packetTotal  | 
switching | switch | switchOut1,switchOut2,gateWay  | switchIn
switching | switchNode | Out1,Out2,gateWay  | switchNode

#################ModelProject 80 - Tank_Fire  #########################
Tank_Fire | Barrel | Ammu_out  | Sfin Ain Fin
Tank_Fire | Elec_Fire | Elec_Fire  | Elec_Fire
Tank_Fire | Emergency | Emergency  | Emergency
Tank_Fire | Fire | Fire  | Ecin Min Emin
Tank_Fire | GUNNER | GUNNER  | Ecin Min Emin
Tank_Fire | LOADER | Ammu_out  | Ain Sin Fin
Tank_Fire | Manu_Fire | Manu_Fire  | Manu_Fire
Tank_Fire | Safety_Loder | Safety_Loder  | Sin
Tank_Fire | tank | Amm_out  | Ammu_in Safety_in Elec_in Manu_in Emerg_in

#################ModelProject 81 - techsupportfinancialdept  #########################
techsupportfinancialdept | coverage_plan_manager | Plan_Ok,Request_Validation,Problem  | Call_In,Validation_Result
techsupportfinancialdept | financial_manager | Plan_Ok,Problem  | Call_In
techsupportfinancialdept | financial_queue | FQ_Out  | Call_In,Release_Next
techsupportfinancialdept | financial_queue_control | Control_Out  | Control_In
techsupportfinancialdept | technical_support_fd | Done,Problem  | Call_In
techsupportfinancialdept | validation | Result  | Request_Validation

#################ModelProject 82 - telephoneLQNb  #########################
telephoneLQNb | phone |   | in dial switch

#################ModelProject 83 - temperature_detector  #########################
temperature_detector | AType | AType  | in1 in2
temperature_detector | BType | BType  | BType
temperature_detector | CType | CType  | in1 in2
temperature_detector | DType | DType  | DType
temperature_detector | D_average | out1 out2  | D_average
temperature_detector | EType | EType  | in1 in2
temperature_detector | H_average | out1 out2  | in1 in2
temperature_detector | Temperature_detector |   | 
temperature_detector | Time | Time  | Time

#################ModelProject 84 - testqueue  #########################
testqueue | testQueue |   | 

#################ModelProject 85 - tollstation  #########################
tollstation | barrera |   | levantar bajar
tollstation | cajero1 | devolver pago multar  | detectoPase yaSalio monedas
tollstation | carril1 | monedas log  | llegaAuto
tollstation | cola | saleAuto  | yaSalio llegaAuto
tollstation | control | logInfo levantarBarrera  | pago multar timeout yaSalio yaEntro
tollstation | genautos | automovil  | 
tollstation | genpago | monedas pase  | generar
tollstation | lector | detecto  | paso
tollstation | sensor | detecto  | paso
tollstation | timer | timeout  | 

#################ModelProject 86 - trafficlight  #########################
trafficlight | 1gen | car_N  | 
trafficlight | alight | light_red light_green  | opp_light_red walk_stop
trafficlight | aqueue | remove add  | enqueue empty_Q fill_Q
trafficlight | awalksignal | walk_stop walk  | button_on sensor_on light_green
trafficlight | intersection |   | 
trafficlight | onebutton | button_on  | ped_in_Q walk_stop
trafficlight | onesensor | sensor_set  | car_in_Q light_red

#################ModelProject 87 - trafficlightsys  #########################
trafficlightsys | group_controller | light_ab light_cd  | 
trafficlightsys | intersection | next block out  | stop in
trafficlightsys | intersection_controller | value busy timeout  | 
trafficlightsys | intersection_queue | out next block  | in done stop_in stop_out
trafficlightsys | lane | car_out car_in  | stop
trafficlightsys | lane_queue_limited | out next block  | in done stop_in stop_out
trafficlightsys | lane_queue_unlimited | out next block  | in done stop_in stop_out
trafficlightsys | light_controller | light signal  | light_controller
trafficlightsys | top | light_a throughput_a curlen_a avelen_a,light_b throughput_b curlen_b avelen_b,light_c throughput_c curlen_c avelen_c,light_d throughput_d curlen_d avelen_d  | 
trafficlightsys | traffic_collector | throughput curlength avelength  | 
trafficlightsys | traffic_light | light throughput curlength avelength  | signal

#################ModelProject 88 - Traffic_Intersection_Connector  #########################
Traffic_Intersection_Connector | ConnectionGenerator | ConnectionGenerator  | ConnectionGenerator,reset
Traffic_Intersection_Connector | group_controller | light_ab light_cd  | 
Traffic_Intersection_Connector | intersection | next block out  | stop in
Traffic_Intersection_Connector | intersection_1 |   | 
Traffic_Intersection_Connector | intersection_controller | value busy timeout  | 
Traffic_Intersection_Connector | intersection_queue | out next block  | in done stop_in stop_out
Traffic_Intersection_Connector | lane | car_out car_in  | stop
Traffic_Intersection_Connector | lane_queue_limited | out next block  | in done stop_in stop_out
Traffic_Intersection_Connector | lane_queue_unlimited | out next block  | in done stop_in stop_out
Traffic_Intersection_Connector | light_controller | light signal  | light_controller
Traffic_Intersection_Connector | Queue | Queue  | in done
Traffic_Intersection_Connector | top | time_output  | 
Traffic_Intersection_Connector | TopIntersectionandGeneratorandQueue | TopIntersectionandGeneratorandQueue  | done,stop
Traffic_Intersection_Connector | TopOfIntersection1AndConnectionGenerator | out goosfand  | 
Traffic_Intersection_Connector | topOriginal | light_a throughput_a curlen_a avelen_a,light_b throughput_b curlen_b avelen_b,light_c throughput_c curlen_c avelen_c,light_d throughput_d curlen_d avelen_d,carOut kharchang  | 
Traffic_Intersection_Connector | traffic_collector | throughput curlength avelength  | 
Traffic_Intersection_Connector | traffic_light | light throughput curlength avelength  | signal

#################ModelProject 89 - transport  #########################
transport | gen | go  | 
transport | load | exitload  | arriveload
transport | Loadqueue | readygoload  | arriveload loaddone
transport | loadserver | exitload,readyaccept  | enterload
transport | transport | exitunload  | 
transport | transportadv | exitunload  | 
transport | transportgen | exitunload  | 
transport | unload | exitunload  | arriveunload
transport | unloadqueue | readygounload  | arriveunload unloaddone
transport | unloadserver | exitunload readyreceive  | enterunload

#################ModelProject 90 - unmannedgroundv  #########################
unmannedgroundv | HeadingSensor | HeadingSensor  | HeadingSensor
unmannedgroundv | IntruderSensor | IntruderSensor  | IntruderSensor
unmannedgroundv | MainComputer | status turningPort turnLeft turnRight  | heading inputHeading intruder
unmannedgroundv | ugv | status leftWheel rightWheel  | inputHeading intruder
unmannedgroundv | WheelAssembly | leftWheel rightWheel  | turnLeft turnRight
unmannedgroundv | WheelSet | WheelSet  | WheelSet

#################ModelProject 91 - Vending  #########################
Vending | couple | change_out out item_out  | coin_in item_in request_in service_in

#################ModelProject 92 - WirelessModemSimulator  #########################
WirelessModemSimulator | DataTransmitter | out3,out4  | in3 in4
WirelessModemSimulator | PINChecker | out2  | in2
WirelessModemSimulator | UserLaptop | search_network,send_PIN,data_out,internet_data  | connect availability connection data_in
WirelessModemSimulator | WirelessManager | out1  | in1
WirelessModemSimulator | WirelessModem | out1 out2 out3 out4  | in1 in2 in3 in4
WirelessModemSimulator | WirelessModemSimulator | internet_data,out4  | in4,connect
